2012-12-27 14:22:35	- AGENT - Caller complete	6005	SIP/8002	8003
2012-12-27 14:22:36	- AGENT - Caller complete	6001	SIP/8001	8005
2012-12-27 14:23:18	- AGENT - Enter Queue	6002	SIP/8004	8003
2012-12-27 14:23:22	- AGENT - Connect Queue	6002	SIP/8004	8003
2012-12-27 14:23:25	- AGENT - Enter Queue	6001	SIP/8001	8005
2012-12-27 14:23:29	- AGENT - Connect Queue	6001	SIP/8001	8005
2012-12-27 14:23:34	- AGENT - Enter Queue	6005	SIP/8002	8009
2012-12-27 14:23:38	- AGENT - Connect Queue	6005	SIP/8002	8009
2012-12-27 14:24:09	- AGENT - Agent complete	6005	SIP/8002	8009
2012-12-27 14:24:10	- AGENT - Agent complete	6001	SIP/8001	8005
2012-12-27 14:24:12	- AGENT - Caller complete	6002	SIP/8004	8003
2012-12-27 14:25:22	- AGENT - Enter Queue	6002	SIP/8004	8003
2012-12-27 14:25:29	- AGENT - Enter Queue	6001	SIP/8001	8009
2012-12-27 14:25:38	- AGENT - Ring noAns	6002	SIP/8004	8003
2012-12-27 14:25:39	- AGENT - Enter Queue	6005	SIP/8002	8003
2012-12-27 14:25:40	- AGENT - Enter Queue	6002	SIP/8004	8005
2012-12-27 14:25:43	- AGENT - Ring noAns	6005	SIP/8002	8003
2012-12-27 14:25:45	- AGENT - Ring noAns	6001	SIP/8001	8009
2012-12-27 14:25:46	- AGENT - Enter Queue	6005	SIP/8002	8009
2012-12-27 14:25:50	- AGENT - Ring noAns	6005	SIP/8002	8009
2012-12-27 14:25:58	- AGENT - Connect Queue	6002	SIP/8004	8005
2012-12-27 14:26:02	- AGENT - Caller complete	6002	SIP/8004	8005
2012-12-27 14:27:32	- AGENT - Enter Queue	6001	SIP/8001	8003
2012-12-27 14:27:40	- AGENT - Enter Queue	6005	SIP/8002	8005
2012-12-27 14:27:47	- AGENT - Enter Queue	6002	SIP/8004	8009
2012-12-27 14:27:48	- AGENT - Ring noAns	6001	SIP/8001	8003
2012-12-27 14:27:49	- AGENT - Enter Queue	6001	SIP/8001	8003
2012-12-27 14:27:52	- AGENT - Ring noAns	6001	SIP/8001	8003
2012-12-27 14:27:55	- AGENT - Ring noAns	6005	SIP/8002	8005
2012-12-27 14:27:57	- AGENT - Enter Queue	6001	SIP/8001	8005
2012-12-27 14:28:00	- AGENT - Ring noAns	6001	SIP/8001	8005
2012-12-27 14:28:02	- AGENT - Ring noAns	6002	SIP/8004	8009
2012-12-27 14:28:03	- AGENT - Enter Queue	6002	SIP/8004	8009
2012-12-27 14:28:07	- AGENT - Ring noAns	6002	SIP/8004	8009
2012-12-27 14:28:33	- AGENT - Enter Queue	6001	SIP/8001	8003
2012-12-27 14:28:38	- AGENT - Connect Queue	6001	SIP/8001	8003
2012-12-27 14:28:39	- AGENT - Agent complete	6001	SIP/8001	8003
2012-12-27 14:28:40	- AGENT - Enter Queue	6005	SIP/8002	8005
2012-12-27 14:28:44	- AGENT - Abandon Call	6005	SIP/8002	8005
2012-12-27 14:30:28	- AGENT - Enter Queue	6002	SIP/8004	8003
2012-12-27 14:30:34	- AGENT - Connect Queue	6002	SIP/8004	8003
2012-12-27 14:30:36	- AGENT - Enter Queue	6001	SIP/8001	8009
2012-12-27 14:30:42	- AGENT - Enter Queue	6005	SIP/8002	8005
2012-12-27 14:30:46	- AGENT - Connect Queue	6005	SIP/8002	8005
2012-12-27 14:30:52	- AGENT - Ring noAns	6001	SIP/8001	8009
2012-12-27 14:30:53	- AGENT - Enter Queue	6001	SIP/8001	8009
2012-12-27 14:30:56	- AGENT - Ring noAns	6001	SIP/8001	8009
2012-12-27 14:31:36	- AGENT - Enter Queue	6001	SIP/8001	8009
2012-12-27 14:31:43	- AGENT - Agent complete	6005	SIP/8002	8005
2012-12-27 14:31:43	- AGENT - Connect Queue	6001	SIP/8001	8009
2012-12-27 14:31:44	- AGENT - Agent complete	6001	SIP/8001	8009
2012-12-27 14:31:45	- AGENT - Caller complete	6002	SIP/8004	8003
2012-12-27 14:32:34	- AGENT - Agent pause	127.0.0.1	6001
2012-12-27 14:32:38	- AGENT - Enter Queue	6005	SIP/8002	8003
2012-12-27 14:32:45	- AGENT - Enter Queue	6002	SIP/8004	8005
2012-12-27 14:32:54	- AGENT - Ring noAns	6005	SIP/8002	8003
2012-12-27 14:32:55	- AGENT - Enter Queue	6005	SIP/8002	8003
2012-12-27 14:32:58	- AGENT - Ring noAns	6005	SIP/8002	8003
2012-12-27 14:33:01	- AGENT - Ring noAns	6002	SIP/8004	8005
2012-12-27 14:33:02	- AGENT - Enter Queue	6005	SIP/8002	8005
2012-12-27 14:33:05	- AGENT - Ring noAns	6005	SIP/8002	8005
